name,date,Organism_Name,Isolate,Species,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,GenBank_Title,Collection_Year,source,year
OM920051,4/5/2018,dengue virus type 3,D3/TAN/18/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/18/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920052,3/28/2018,dengue virus type 3,D3/TAN/17/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/17/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920053,2/28/2018,dengue virus type 3,D3/TAN/16/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/16/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920054,3/3/2018,dengue virus type 3,D3/TAN/14/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/14/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920055,3/28/2018,dengue virus type 3,D3/TAN/12/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/12/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920056,2/27/2018,dengue virus type 3,D3/TAN/11/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/11/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920057,2/26/2018,dengue virus type 3,D3/TAN/10/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/10/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920058,2/24/2018,dengue virus type 3,D3/TAN/09/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/09/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920059,2/19/2018,dengue virus type 3,D3/TAN/08/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/08/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920060,2/9/2018,dengue virus type 3,D3/TAN/07/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/07/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920061,2/1/2018,dengue virus type 3,D3/TAN/06/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/06/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920062,1/23/2018,dengue virus type 3,D3/TAN/05/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/05/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920063,1/20/2018,dengue virus type 3,D3/TAN/04/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/04/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920064,1/15/2018,dengue virus type 3,D3/TAN/03/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/03/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920065,1/26/2018,dengue virus type 3,D3/TAN/02/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/02/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920066,1/25/2018,dengue virus type 3,D3/TAN/01/DAR/2018,Orthoflavivirus denguei,1479,GenBank,partial,3,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 3 isolate D3/TAN/01/DAR/2018 polyprotein, envelope protein E region, (POLY) gene, partial cds",2018,study,
OM920075,6/18/2019,dengue virus type 1,D1/TAN/739/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/739/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920076,1/7/2019,dengue virus type 1,D1/TAN/738/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/738/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920077,6/19/2019,dengue virus type 1,D1/TAN/733/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/733/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920078,1/7/2019,dengue virus type 1,D1/TAN/737/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/737/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920079,6/21/2019,dengue virus type 1,D1/TAN/732/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/732/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920080,6/21/2019,dengue virus type 1,D1/TAN/731/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/731/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920081,6/28/2019,dengue virus type 1,D1/TAN/735/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/735/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920082,4/12/2019,dengue virus type 1,D1/TAN/730/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/730/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920083,4/13/2019,dengue virus type 1,D1/TAN/729/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/729/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920084,4/13/2019,dengue virus type 1,D1/TAN/728/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/728/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920085,4/15/2019,dengue virus type 1,D1/TAN/725/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/725/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920086,4/13/2019,dengue virus type 1,D1/TAN/718/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/718/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920087,12/5/2019,dengue virus type 1,D1/TAN/717/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/717/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920088,4/14/2019,dengue virus type 1,D1/TAN/716/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/716/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920089,4/15/2019,dengue virus type 1,D1/TAN/715/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/715/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920090,4/13/2019,dengue virus type 1,D1/TAN/714/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/714/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920091,4/14/2019,dengue virus type 1,D1/TAN/713/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/713/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920092,4/15/2019,dengue virus type 1,D1/TAN/712/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/712/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920093,4/14/2019,dengue virus type 1,D1/TAN/710/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/710/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920094,4/15/2019,dengue virus type 1,D1/TAN/709/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/709/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920095,10/6/2019,dengue virus type 1,D1/TAN/708/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/708/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920096,11/6/2019,dengue virus type 1,D1/TAN/707/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/707/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920097,11/6/2019,dengue virus type 1,D1/TAN/706/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/706/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920098,5/6/2019,dengue virus type 1,D1/TAN/705/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/705/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920099,5/23/2019,dengue virus type 1,D1/TAN/703/KIL/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/703/KIL/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920100,5/24/2019,dengue virus type 1,D1/TAN/701/KIL/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/701/KIL/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920101,6/24/2019,dengue virus type 1,D1/TAN/697/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/697/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920102,6/17/2019,dengue virus type 1,D1/TAN/688/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/688/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920103,10/6/2019,dengue virus type 1,D1/TAN/687/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/687/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920104,3/6/2019,dengue virus type 1,D1/TAN/686/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/686/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920105,3/5/2019,dengue virus type 1,D1/TAN/685/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/685/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920106,3/5/2019,dengue virus type 1,D1/TAN/683/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/683/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920107,3/5/2019,dengue virus type 1,D1/TAN/682/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/682/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920108,3/5/2019,dengue virus type 1,D1/TAN/674/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/674/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920109,3/5/2019,dengue virus type 1,D1/TAN/671/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/671/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920110,3/5/2019,dengue virus type 1,D1/TAN/670/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/670/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920111,3/5/2019,dengue virus type 1,D1/TAN/665/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/665/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920112,3/5/2019,dengue virus type 1,D1/TAN/659/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/659/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920113,6/25/2019,dengue virus type 1,D1/TAN/656/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/656/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920114,6/25/2019,dengue virus type 1,D1/TAN/654/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/654/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920115,6/25/2019,dengue virus type 1,D1/TAN/653/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/653/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920116,6/18/2019,dengue virus type 1,D1/TAN/647/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/647/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920117,6/18/2019,dengue virus type 1,D1/TAN/646/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/646/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920118,6/18/2019,dengue virus type 1,D1/TAN/645/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/645/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920119,5/6/2019,dengue virus type 1,D1/TAN/644/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/644/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920120,5/6/2019,dengue virus type 1,D1/TAN/639/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/639/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920121,5/6/2019,dengue virus type 1,D1/TAN/637/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/637/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920122,5/6/2019,dengue virus type 1,D1/TAN/634/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/634/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920123,5/6/2019,dengue virus type 1,D1/TAN/630/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/630/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920124,4/14/2019,dengue virus type 1,D1/TAN/586/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/586/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920125,4/14/2019,dengue virus type 1,D1/TAN/585/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/585/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920126,4/14/2019,dengue virus type 1,D1/TAN/579/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/579/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920127,4/14/2019,dengue virus type 1,D1/TAN/574/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/574/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920128,11/4/2019,dengue virus type 1,D1/TAN/572/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/572/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920129,11/4/2019,dengue virus type 1,D1/TAN/569/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/569/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
OM920130,8/5/2019,dengue virus type 1,D1/TAN/547/DAR/2019,Orthoflavivirus denguei,1485,GenBank,partial,1,,,Tanzania,Tanzania,,Homo sapiens,blood,"Dengue virus 1 isolate D1/TAN/547/DAR/2019 polyprotein, envelope protein E region, (POLY) gene, partial cds",2019,study,
